Flag,N,Rep,Tempo,RSS,Text,Cycles,Instructions,CacheReferences,CacheMisses,Branches,BranchMisses,L1Loads,L1LoadMisses,L2Access,L2Misses,L3Access,L3Misses
-O0,512,13,0.523323,18764,2832,1953813926,3783690145,368431289,139650506,159108784,889604,938239290,135584988,136111742,15303057,NA,NA
-O0,512,14,0.516509,18688,2832,1949661930,3731293413,375100877,137451496,153915103,991726,952517160,134992948,138291278,20609989,NA,NA
-O0,512,15,0.493591,18892,2832,1861129348,3664811196,372989953,137871069,158331429,752989,968877618,138014572,137981689,14300208,NA,NA
-O0,512,16,0.508688,18628,2832,1907560977,3676246012,360830115,137082768,156997791,670111,966893158,141089775,139197483,14201909,NA,NA
-O0,512,17,0.525286,18820,2832,2045323761,3790202902,351463561,136557851,154171885,934474,939046517,136535404,139435581,21300537,NA,NA
-O0,512,18,0.444352,18568,2832,1933286774,3694402843,373217569,137211027,156121604,826460,960810213,138836411,139259643,13419977,NA,NA
-O0,512,19,0.440069,18780,2832,1917552297,3673180341,366003923,136132126,155486443,692548,966325408,140222036,140227526,12519044,NA,NA
-O0,512,20,0.432672,19008,2832,1900896134,3684117454,374988622,137186491,156223341,679894,961916586,138974846,138642108,14954224,NA,NA
-O0,512,21,0.430856,18912,2832,1922945423,3676253159,367825619,136104470,155285458,670302,964312633,139684708,139629389,14025872,NA,NA
-O0,512,22,0.433730,18688,2832,1925676592,3678503000,364934748,136239251,155343536,545910,962945452,139768024,139635673,12863343,NA,NA
-O0,512,23,0.439908,18872,2832,1936108406,3692875460,365805828,136555571,156052678,820004,961907419,139817241,139803238,14614785,NA,NA
-O0,512,24,0.425201,18856,2832,1896216908,3675387495,366978052,136511892,154372593,645993,964563656,139732452,138681564,12205082,NA,NA
-O0,512,25,0.430037,19024,2832,1919755107,3673552333,372804222,136382627,155543348,843128,964615469,139630877,139417123,14798951,NA,NA
-O0,512,26,0.427181,18912,2832,1906688811,3651200782,371183502,135112588,153916813,688776,970928539,140672447,140489167,16072683,NA,NA
-O0,512,27,0.414496,18756,2832,1852108214,3679809431,380021475,136676858,154133706,667546,962829375,138624422,138495640,15069912,NA,NA
-O0,512,28,0.438629,18864,2832,1929879884,3700418524,368684006,135692751,154070478,881892,957781679,139612577,139921543,14345535,NA,NA
-O0,512,29,0.440738,18752,2832,1937097200,3686496083,366208714,134712734,153861314,779154,962039572,140011173,140928537,16089342,NA,NA
-O0,512,30,0.423716,19144,2832,1897942672,3683711342,370859673,135148206,152550589,613877,963224284,140232175,140001829,14513140,NA,NA
-O1,512,1,0.703224,18804,2632,3153518792,1038105168,308444265,137785533,156159391,774952,278938162,140139441,140578984,111659311,NA,NA
-O1,512,2,0.707278,18936,2632,3167750428,1035450766,305088441,136813605,154036455,626469,276866068,142235175,142395125,110365081,NA,NA
-O1,512,3,0.731773,18856,2632,3284643879,1029001101,305492964,137871106,154670202,754161,288371125,145001136,145067299,118894310,NA,NA
-O1,512,4,0.665961,18520,2632,2987025769,1028632576,319125715,137565997,154754389,646704,279028755,140712730,140275117,97316595,NA,NA
-O1,512,5,0.714643,18608,2632,3192669521,998017022,306254294,136803842,155328555,951230,291637911,142706616,143197344,113103388,NA,NA
-O1,512,6,0.713139,18604,2632,3200718489,1006817449,297915341,136116832,155578456,833506,286022026,142310406,142135950,115059137,NA,NA
-O1,512,7,0.721265,18596,2632,3235728175,1009143356,301312332,136642989,155735617,878531,288943991,143426633,143680723,115864529,NA,NA
-O1,512,8,0.708430,18728,2632,3180247320,1036192248,309387109,137896805,155297760,658270,278549698,141809916,141631277,110023999,NA,NA
-O1,512,9,0.720528,19156,2632,3219544967,1005243511,302010130,137085959,155950005,1035397,289163937,142246687,142088385,114870451,NA,NA
-O1,512,10,0.621274,19080,2632,2794136908,1017361678,327320713,134264304,152384910,680424,281404509,140776733,142103184,79056601,NA,NA
-O1,512,11,0.702487,18828,2632,3134370500,1028565259,310336208,137455950,155357845,794927,283549702,142141316,142219427,108158147,NA,NA
-O1,512,12,0.625198,18744,2632,2797706863,1035526696,335451442,137234513,154250155,635498,276859181,140080720,140090063,79095279,NA,NA
-O1,512,13,0.696818,18788,2632,3083283284,995305689,319850252,137646963,154627966,939052,297316517,144570298,144358259,99185440,NA,NA
-O1,512,14,0.575150,18680,2632,2557747473,1031260759,356134286,136336412,153476454,738616,276772197,139878914,140825239,53812108,NA,NA
-O1,512,15,0.619712,18980,2632,2733036074,1000637671,342735717,136660177,155569641,906845,289721606,142427199,142414497,68841666,NA,NA
-O1,512,16,0.704644,18856,2632,3121100414,1027078135,311141107,137382216,155567537,844297,283058439,142256969,141781066,104050930,NA,NA
-O1,512,17,0.582902,18400,2632,2600756753,1015672349,353148417,137796961,156227253,810633,283080967,140847880,139881797,59632887,NA,NA
-O1,512,18,0.719017,18972,2632,3201336537,1027729597,309993566,136867574,155199846,833798,285859610,143530847,144122326,111177146,NA,NA
-O1,512,19,0.694835,18928,2632,3102573508,994706659,307099065,136241781,154068396,796152,289958923,142851091,142334510,103392102,NA,NA
-O1,512,20,0.591351,19000,2632,2620861641,995578365,353100234,136677039,156130300,921421,288375617,140450796,141064038,60565026,NA,NA
-O1,512,21,0.647745,19044,2632,2842056690,1005021425,327449114,136779181,154542153,915395,287042041,141376395,140713794,81790199,NA,NA
-O1,512,22,0.705896,19100,2632,3141018054,1030043204,306084839,136647790,155021032,780084,279167980,140718505,141099754,109270726,NA,NA
-O1,512,23,0.715053,18424,2632,3184944454,1013354086,301378438,136726998,155887625,939294,283457449,141273811,141137478,113110305,NA,NA
-O1,512,24,0.719877,18576,2632,3205941795,1026186889,300179638,136498995,155281204,761226,279064501,141985664,141938076,114184545,NA,NA
-O1,512,25,0.714287,18836,2632,3181058607,1022216043,296825962,135078743,154716194,690161,279498076,141805506,142293837,112699421,NA,NA
-O1,512,26,0.707478,18836,2632,3130865414,1026356687,306994917,136944613,154540894,650598,281220721,143672784,142850133,105121113,NA,NA
-O1,512,27,0.718015,18668,2632,3170236169,1033681570,305585323,136430362,156266340,733909,280259872,142201222,142498548,109506368,NA,NA
-O1,512,28,0.713320,18820,2632,3179994484,1006184248,299875190,135761569,155065342,795620,285822726,142560154,142689997,112144823,NA,NA
-O1,512,29,0.663724,18868,2632,2958128403,1010371114,326634406,136876325,155338808,770462,283669293,140474724,141015136,92713706,NA,NA
-O1,512,30,0.718943,18728,2632,3225060027,999067048,298858217,136243322,155334915,870301,288898247,143182167,143059463,115764253,NA,NA
-O2,512,1,0.287996,19128,2633,1316988669,661809267,172908712,67457178,86203114,542271,148717750,72234801,71883902,32104235,NA,NA
-O2,512,2,0.291180,18920,2633,1324022990,667522820,171680575,68065566,85838554,603071,147223998,71322189,71610771,34280675,NA,NA
-O2,512,3,0.287484,18424,2633,1297932225,685157083,175680890,67679072,87029435,464795,141928316,71049706,71590427,30737737,NA,NA
-O2,512,4,0.285924,18992,2633,1292992436,663763231,174956325,68404899,86892189,717917,148694768,70992424,71253874,32678832,NA,NA
-O2,512,5,0.292409,18880,2633,1330070258,658413189,171405935,68316298,85895064,633415,149745896,71698830,71603116,34588261,NA,NA
-O2,512,6,0.289545,18844,2633,1306612387,686517452,174655079,68314849,86858960,513322,141613996,71207947,71092080,32169552,NA,NA
-O2,512,7,0.288522,18876,2633,1311283604,686995762,175449406,68459811,86357848,494860,141031665,70556272,70873692,31834395,NA,NA
