group1,group2,meandiff,p-adj,lower,upper,reject,Metrica,N
-O1,-O3,-4712786.2667,0.0,-5088345.8718,-4337226.6616,True,CacheMisses,256
-O1,-Ofast,-4808509.9333,0.0,-5184069.5384,-4432950.3282,True,CacheMisses,256
-O2,-O3,-132836.4333,0.8652,-508396.0384,242723.1718,False,CacheMisses,256
-O2,-Ofast,-228560.1,0.4488,-604119.7051,146999.5051,False,CacheMisses,256
-O3,-Ofast,-95723.6667,0.9553,-471283.2718,279835.9384,False,CacheMisses,256
-O0,-O1,403336.9,0.4588,-265809.7974,1072483.5974,False,CacheMisses,512
-O0,-O2,-68429193.5333,0.0,-69098340.2308,-67760046.8359,True,CacheMisses,512
-O0,-O3,-68720883.0,0.0,-69390029.6974,-68051736.3026,True,CacheMisses,512
-O0,-Ofast,-68569247.6,0.0,-69238394.2974,-67900100.9026,True,CacheMisses,512
-O1,-O2,-68832530.4333,0.0,-69501677.1308,-68163383.7359,True,CacheMisses,512
-O1,-O3,-69124219.9,0.0,-69793366.5974,-68455073.2026,True,CacheMisses,512
-O1,-Ofast,-68972584.5,0.0,-69641731.1974,-68303437.8026,True,CacheMisses,512
-O2,-O3,-291689.4667,0.749,-960836.1641,377457.2308,False,CacheMisses,512
-O2,-Ofast,-140054.0667,0.9781,-809200.7641,529092.6308,False,CacheMisses,512
-O3,-Ofast,151635.4,0.9707,-517511.2974,820782.0974,False,CacheMisses,512
-O0,-O1,-1004270.1667,0.7056,-3176254.0152,1167713.6819,False,CacheMisses,1024
-O0,-O2,-551496865.3667,0.0,-553668849.2152,-549324881.5181,True,CacheMisses,1024
-O0,-O3,-551835543.6667,0.0,-554007527.5152,-549663559.8181,True,CacheMisses,1024
-O0,-Ofast,-551861660.7333,0.0,-554033644.5819,-549689676.8848,True,CacheMisses,1024
-O1,-O2,-550492595.2,0.0,-552664579.0485,-548320611.3515,True,CacheMisses,1024
-O1,-O3,-550831273.5,0.0,-553003257.3485,-548659289.6515,True,CacheMisses,1024
-O1,-Ofast,-550857390.5667,0.0,-553029374.4152,-548685406.7181,True,CacheMisses,1024
-O2,-O3,-338678.3,0.9928,-2510662.1485,1833305.5485,False,CacheMisses,1024
-O2,-Ofast,-364795.3667,0.9904,-2536779.2152,1807188.4819,False,CacheMisses,1024
-O3,-Ofast,-26117.0667,1.0,-2198100.9152,2145866.7819,False,CacheMisses,1024
-O0,-O1,15857182439.6,0.0,15582126306.3591,16132238572.8409,True,CacheMisses,2048
-O0,-O2,-2442159797.4,0.0,-2717215930.6409,-2167103664.1591,True,CacheMisses,2048
-O0,-O3,-2390965254.5,0.0,-2666021387.7409,-2115909121.2591,True,CacheMisses,2048
-O0,-Ofast,-2386379165.2,0.0,-2661435298.4409,-2111323031.9591,True,CacheMisses,2048
-O1,-O2,-18299342237.0,0.0,-18574398370.2409,-18024286103.7591,True,CacheMisses,2048
-O1,-O3,-18248147694.1,0.0,-18523203827.3409,-17973091560.8591,True,CacheMisses,2048
-O1,-Ofast,-18243561604.8,0.0,-18518617738.0409,-17968505471.5591,True,CacheMisses,2048
-O2,-O3,51194542.9,0.9839,-223861590.3409,326250676.1409,False,CacheMisses,2048
-O2,-Ofast,55780632.2,0.9779,-219275501.0409,330836765.4409,False,CacheMisses,2048
-O3,-Ofast,4586089.3,1.0,-270470043.9409,279642222.5409,False,CacheMisses,2048
-O0,-O1,-66658.4,0.0,-98080.437,-35236.363,True,BranchMisses,256
-O0,-O2,-86740.0,0.0,-118162.037,-55317.963,True,BranchMisses,256
-O0,-O3,-97259.9667,0.0,-128682.0036,-65837.9297,True,BranchMisses,256
-O0,-Ofast,-90299.5333,0.0,-121721.5703,-58877.4964,True,BranchMisses,256
-O1,-O2,-20081.6,0.3978,-51503.637,11340.437,False,BranchMisses,256
-O1,-O3,-30601.5667,0.0603,-62023.6036,820.4703,False,BranchMisses,256
-O1,-Ofast,-23641.1333,0.2351,-55063.1703,7780.9036,False,BranchMisses,256
-O2,-O3,-10519.9667,0.8869,-41942.0036,20902.0703,False,BranchMisses,256
-O2,-Ofast,-3559.5333,0.9979,-34981.5703,27862.5036,False,BranchMisses,256
-O3,-Ofast,6960.4333,0.973,-24461.6036,38382.4703,False,BranchMisses,256
-O0,-O1,69403.1,0.2743,-26758.8049,165565.0049,False,BranchMisses,512
-O0,-O2,-129352.2667,0.0026,-225514.1716,-33190.3618,True,BranchMisses,512
-O0,-O3,-173025.8667,0.0,-269187.7716,-76863.9618,True,BranchMisses,512
